text,label
HDFC Bank faces regulatory investigation over irregularities.,negative
Analysts downgrade Wipro citing poor performance.,negative
Titan Company reports robust performance with revenue of INR 269 crore in Q3.,positive
Asian Paints posts record profits of INR 4078 crore.,positive
Shares of HDFC Bank trade flat amid mixed market sentiment.,neutral
Dr. Reddy's schedules board meeting for Q3.,neutral
HCL Technologies schedules board meeting for Q3.,neutral
Regulatory action against Tata Motors triggers sell-off.,negative
Axis Bank announces leadership changes in key divisions.,neutral
Shares of HDFC Bank surge after strong Q2 results.,positive
Analysts downgrade Dr. Reddy's citing poor performance.,negative
Adani Ports faces legal challenges impacting market confidence.,negative
Shares of Axis Bank fall after weak Q4 results.,negative
Analysts upgrade Dr. Reddy's on improved growth outlook.,positive
Kotak Mahindra Bank faces regulatory investigation over irregularities.,negative
Kotak Mahindra Bank faces legal challenges impacting market confidence.,negative
Investors cheer as Tech Mahindra secures major contract worth INR 2627 crore.,positive
Adani Ports announces leadership changes in key divisions.,neutral
ICICI Bank stock hits 52-week high on strong demand.,positive
Sun Pharma reports a 7% decline in net profit.,negative
Investors exit Hindustan Unilever after disappointing Q1 guidance.,negative
ITC faces regulatory investigation over irregularities.,negative
ITC announces leadership changes in key divisions.,neutral
Shares of TCS surge after strong Q2 results.,positive
Sun Pharma reports a 21% decline in net profit.,negative
Tata Motors misses earnings estimates with 7% drop in profit.,negative
Shares of Axis Bank surge after strong Q4 results.,positive
Cipla stock plunges 15% amid concerns over debt levels.,negative
Adani Ports completes successful acquisition of Logistics Inc.,positive
Asian Paints schedules board meeting for Q4.,neutral
Hindustan Unilever schedules board meeting for Q2.,neutral
Tata Motors reports robust performance with revenue of INR 1456 crore in Q4.,positive
Shares of Maruti Suzuki surge after strong Q4 results.,positive
Tata Motors reports robust performance with revenue of INR 2060 crore in Q2.,positive
Sun Pharma posts losses of INR 4823 crore this quarter.,negative
Axis Bank beats market expectations with 8% profit growth.,positive
SBI announces 27% increase in dividend payout.,positive
HCL Technologies completes acquisition of Energy Solutions.,neutral
Maruti Suzuki stock hits 52-week high on strong demand.,positive
Hindustan Unilever posts record profits of INR 3504 crore.,positive
Investors cheer as ICICI Bank secures major contract worth INR 3556 crore.,positive
Titan Company completes acquisition of Capital Ltd.,neutral
Shares of Adani Ports fall after weak Q3 results.,negative
Tech Mahindra completes acquisition of Logistics Inc.,neutral
UltraTech Cement reports a 9% rise in quarterly revenue.,positive
Power Grid posts losses of INR 430 crore this quarter.,negative
Shares of Wipro fall after weak Q2 results.,negative
Investors cheer as UltraTech Cement secures major contract worth INR 4491 crore.,positive
Market participants await HDFC Bank quarterly results.,neutral
Market participants await Adani Ports quarterly results.,neutral
Analysts downgrade Cipla citing poor performance.,negative
Investors cheer as UltraTech Cement secures major contract worth INR 143 crore.,positive
Mahindra & Mahindra announces 24% increase in dividend payout.,positive
Power Grid announces leadership changes in key divisions.,neutral
JSW Steel posts losses of INR 2448 crore this quarter.,negative
TCS reports a 15% decline in net profit.,negative
Tata Motors completes successful acquisition of Logistics Inc.,positive
Titan Company announces organizational restructuring.,neutral
Adani Ports schedules board meeting for Q4.,neutral
Investors cheer as Hindustan Unilever secures major contract worth INR 3668 crore.,positive
Analysts downgrade Hindustan Unilever citing poor performance.,negative
Investors cheer as JSW Steel secures major contract worth INR 1284 crore.,positive
TCS announces leadership changes in key divisions.,neutral
Power Grid introduces a new product line in the domestic market.,neutral
Investors cheer as Reliance Industries secures major contract worth INR 2981 crore.,positive
Analysts upgrade Bharti Airtel on improved growth outlook.,positive
Dr. Reddy's reports a 32% rise in quarterly revenue.,positive
Asian Paints reports robust performance with revenue of INR 2931 crore in Q3.,positive
Dr. Reddy's completes acquisition of Capital Ltd.,neutral
Tech Mahindra stock hits 52-week high on strong demand.,positive
Adani Ports schedules board meeting for Q4.,neutral
Shares of Maruti Suzuki trade flat amid mixed market sentiment.,neutral
Infosys reports robust performance with revenue of INR 2023 crore in Q3.,positive
HDFC Bank announces leadership changes in key divisions.,neutral
Bharti Airtel stock plunges 15% amid concerns over debt levels.,negative
Investors cheer as Asian Paints secures major contract worth INR 4815 crore.,positive
TCS completes successful acquisition of Tech Solutions.,positive
Infosys posts losses of INR 2638 crore this quarter.,negative
Investors cheer as HDFC Bank secures major contract worth INR 1361 crore.,positive
HCL Technologies announces 19% increase in dividend payout.,positive
Investors exit Tata Motors after disappointing Q4 guidance.,negative
Infosys completes successful acquisition of Capital Ltd.,positive
JSW Steel posts losses of INR 2916 crore this quarter.,negative
Analysts downgrade HCL Technologies citing poor performance.,negative
Bajaj Finance completes successful acquisition of Energy Solutions.,positive
Investors exit Power Grid after disappointing Q1 guidance.,negative
UltraTech Cement stock hits 52-week high on strong demand.,positive
Market participants await Bharti Airtel quarterly results.,neutral
Shares of Tech Mahindra fall after weak Q1 results.,negative
Reliance Industries announces leadership changes in key divisions.,neutral
Wipro beats market expectations with 27% profit growth.,positive
Shares of Asian Paints fall after weak Q3 results.,negative
UltraTech Cement announces organizational restructuring.,neutral
Adani Ports beats market expectations with 8% profit growth.,positive
Cipla schedules board meeting for Q1.,neutral
Dr. Reddy's faces legal challenges impacting market confidence.,negative
Analysts downgrade Hindustan Unilever citing poor performance.,negative
Sun Pharma completes acquisition of Logistics Inc.,neutral
TCS introduces a new product line in the domestic market.,neutral
Power Grid completes successful acquisition of Energy Solutions.,positive
Asian Paints introduces a new product line in the domestic market.,neutral
Bharti Airtel posts losses of INR 4819 crore this quarter.,negative
Infosys reports robust performance with revenue of INR 638 crore in Q3.,positive
Titan Company faces regulatory investigation over irregularities.,negative
Bharti Airtel announces organizational restructuring.,neutral
Shares of UltraTech Cement trade flat amid mixed market sentiment.,neutral
Regulatory action against Tata Motors triggers sell-off.,negative
Maruti Suzuki announces leadership changes in key divisions.,neutral
Tech Mahindra announces leadership changes in key divisions.,neutral
Titan Company completes acquisition of Tech Solutions.,neutral
Bharti Airtel posts losses of INR 4283 crore this quarter.,negative
Asian Paints faces regulatory investigation over irregularities.,negative
Bajaj Finance faces legal challenges impacting market confidence.,negative
Shares of Maruti Suzuki trade flat amid mixed market sentiment.,neutral
Analysts upgrade Titan Company on improved growth outlook.,positive
Regulatory action against Mahindra & Mahindra triggers sell-off.,negative
Shares of Tech Mahindra trade flat amid mixed market sentiment.,neutral
Cipla faces regulatory investigation over irregularities.,negative
Regulatory action against Hindustan Unilever triggers sell-off.,negative
Investors exit Tech Mahindra after disappointing Q1 guidance.,negative
Shares of Dr. Reddy's trade flat amid mixed market sentiment.,neutral
ITC posts losses of INR 2680 crore this quarter.,negative
Tech Mahindra faces regulatory investigation over irregularities.,negative
Bajaj Finance announces leadership changes in key divisions.,neutral
Tata Motors misses earnings estimates with 13% drop in profit.,negative
Shares of ICICI Bank trade flat amid mixed market sentiment.,neutral
Cipla completes successful acquisition of Logistics Inc.,positive
Kotak Mahindra Bank introduces a new product line in the domestic market.,neutral
Market participants await Wipro quarterly results.,neutral
HDFC Bank faces regulatory investigation over irregularities.,negative
HCL Technologies completes acquisition of Industrial Group.,neutral
Analysts downgrade Tata Motors citing poor performance.,negative
UltraTech Cement announces organizational restructuring.,neutral
Asian Paints announces leadership changes in key divisions.,neutral
Tata Motors announces organizational restructuring.,neutral
Adani Ports posts record profits of INR 4934 crore.,positive
Investors cheer as Wipro secures major contract worth INR 511 crore.,positive
HDFC Bank faces regulatory investigation over irregularities.,negative
Investors exit JSW Steel after disappointing Q2 guidance.,negative
Dr. Reddy's reports robust performance with revenue of INR 912 crore in Q2.,positive
Infosys announces organizational restructuring.,neutral
SBI reports robust performance with revenue of INR 539 crore in Q2.,positive
Sun Pharma stock plunges 18% amid concerns over debt levels.,negative
HCL Technologies completes successful acquisition of Tech Solutions.,positive
Investors cheer as HDFC Bank secures major contract worth INR 2291 crore.,positive
HCL Technologies completes acquisition of Tech Solutions.,neutral
SBI announces organizational restructuring.,neutral
Hindustan Unilever faces regulatory investigation over irregularities.,negative
HDFC Bank stock hits 52-week high on strong demand.,positive
SBI reports robust performance with revenue of INR 348 crore in Q4.,positive
Shares of Tata Motors surge after strong Q1 results.,positive
ICICI Bank misses earnings estimates with 17% drop in profit.,negative
Analysts upgrade ITC on improved growth outlook.,positive
Analysts downgrade UltraTech Cement citing poor performance.,negative
JSW Steel posts losses of INR 4884 crore this quarter.,negative
Kotak Mahindra Bank reports a 34% rise in quarterly revenue.,positive
Hindustan Unilever faces regulatory investigation over irregularities.,negative
Tech Mahindra announces leadership changes in key divisions.,neutral
Shares of JSW Steel fall after weak Q1 results.,negative
Kotak Mahindra Bank posts losses of INR 2573 crore this quarter.,negative
Analysts downgrade Maruti Suzuki citing poor performance.,negative
Regulatory action against Mahindra & Mahindra triggers sell-off.,negative
Tech Mahindra stock hits 52-week high on strong demand.,positive
Reliance Industries misses earnings estimates with 3% drop in profit.,negative
Investors cheer as Mahindra & Mahindra secures major contract worth INR 1037 crore.,positive
Asian Paints completes successful acquisition of Financial Corp.,positive
Shares of JSW Steel fall after weak Q3 results.,negative
HCL Technologies reports robust performance with revenue of INR 3909 crore in Q3.,positive
ITC introduces a new product line in the domestic market.,neutral
Investors exit Asian Paints after disappointing Q2 guidance.,negative
Tech Mahindra beats market expectations with 8% profit growth.,positive
ITC announces organizational restructuring.,neutral
HCL Technologies announces organizational restructuring.,neutral
JSW Steel reports a 8% decline in net profit.,negative
JSW Steel announces leadership changes in key divisions.,neutral
Investors exit Asian Paints after disappointing Q4 guidance.,negative
Bajaj Finance announces leadership changes in key divisions.,neutral
Regulatory action against Bajaj Finance triggers sell-off.,negative
Asian Paints reports robust performance with revenue of INR 4797 crore in Q4.,positive
Tata Motors introduces a new product line in the domestic market.,neutral
Titan Company misses earnings estimates with 18% drop in profit.,negative
Shares of Tata Motors fall after weak Q4 results.,negative
Maruti Suzuki reports a 30% rise in quarterly revenue.,positive
UltraTech Cement stock hits 52-week high on strong demand.,positive
Investors cheer as Infosys secures major contract worth INR 1837 crore.,positive
Tech Mahindra announces organizational restructuring.,neutral
Bajaj Finance completes acquisition of Industrial Group.,neutral
Titan Company announces leadership changes in key divisions.,neutral
Tech Mahindra completes acquisition of Industrial Group.,neutral
Bharti Airtel faces regulatory investigation over irregularities.,negative
SBI introduces a new product line in the domestic market.,neutral
Tata Motors posts losses of INR 3351 crore this quarter.,negative
HDFC Bank faces regulatory investigation over irregularities.,negative
Investors cheer as HDFC Bank secures major contract worth INR 635 crore.,positive
Mahindra & Mahindra completes successful acquisition of Financial Corp.,positive
Investors exit HCL Technologies after disappointing Q3 guidance.,negative
SBI announces organizational restructuring.,neutral
HCL Technologies stock hits 52-week high on strong demand.,positive
Kotak Mahindra Bank introduces a new product line in the domestic market.,neutral
Cipla faces regulatory investigation over irregularities.,negative
ITC completes successful acquisition of Energy Solutions.,positive
ITC reports a 32% rise in quarterly revenue.,positive
UltraTech Cement posts record profits of INR 4762 crore.,positive
Titan Company stock plunges 3% amid concerns over debt levels.,negative
Reliance Industries schedules board meeting for Q3.,neutral
Bajaj Finance introduces a new product line in the domestic market.,neutral
Wipro posts losses of INR 313 crore this quarter.,negative
Shares of JSW Steel trade flat amid mixed market sentiment.,neutral
Hindustan Unilever introduces a new product line in the domestic market.,neutral
HCL Technologies completes acquisition of Tech Solutions.,neutral
Shares of Sun Pharma surge after strong Q1 results.,positive
Investors exit ITC after disappointing Q2 guidance.,negative
Tata Motors announces organizational restructuring.,neutral
Investors exit Hindustan Unilever after disappointing Q3 guidance.,negative
Adani Ports announces leadership changes in key divisions.,neutral
Market participants await Mahindra & Mahindra quarterly results.,neutral
JSW Steel stock plunges 14% amid concerns over debt levels.,negative
Analysts upgrade Titan Company on improved growth outlook.,positive
Analysts upgrade Power Grid on improved growth outlook.,positive
Shares of Power Grid trade flat amid mixed market sentiment.,neutral
Reliance Industries faces regulatory investigation over irregularities.,negative
Market participants await Tata Motors quarterly results.,neutral
Infosys misses earnings estimates with 4% drop in profit.,negative
UltraTech Cement introduces a new product line in the domestic market.,neutral
Axis Bank beats market expectations with 28% profit growth.,positive
Regulatory action against Wipro triggers sell-off.,negative
Power Grid announces leadership changes in key divisions.,neutral
JSW Steel posts record profits of INR 4423 crore.,positive
HDFC Bank announces 7% increase in dividend payout.,positive
Cipla posts losses of INR 4102 crore this quarter.,negative
Kotak Mahindra Bank announces 29% increase in dividend payout.,positive
Infosys beats market expectations with 35% profit growth.,positive
Bajaj Finance completes acquisition of Industrial Group.,neutral
Bajaj Finance beats market expectations with 33% profit growth.,positive
Cipla stock hits 52-week high on strong demand.,positive
Infosys beats market expectations with 18% profit growth.,positive
UltraTech Cement announces organizational restructuring.,neutral
Axis Bank reports robust performance with revenue of INR 3697 crore in Q1.,positive
Shares of Bajaj Finance trade flat amid mixed market sentiment.,neutral
Tata Motors schedules board meeting for Q2.,neutral
Titan Company reports a 20% decline in net profit.,negative
Bajaj Finance reports a 23% rise in quarterly revenue.,positive
UltraTech Cement announces 27% increase in dividend payout.,positive
Analysts downgrade JSW Steel citing poor performance.,negative
Infosys faces regulatory investigation over irregularities.,negative
Market participants await Bharti Airtel quarterly results.,neutral
TCS faces regulatory investigation over irregularities.,negative
Titan Company posts losses of INR 2855 crore this quarter.,negative
Reliance Industries announces leadership changes in key divisions.,neutral
ITC completes acquisition of Industrial Group.,neutral
Axis Bank reports a 30% rise in quarterly revenue.,positive
HCL Technologies completes successful acquisition of Tech Solutions.,positive
Wipro beats market expectations with 26% profit growth.,positive
Regulatory action against Infosys triggers sell-off.,negative
Investors cheer as Reliance Industries secures major contract worth INR 3056 crore.,positive
Market participants await Cipla quarterly results.,neutral
Infosys posts losses of INR 3146 crore this quarter.,negative
Shares of Wipro surge after strong Q3 results.,positive
Analysts downgrade Tata Motors citing poor performance.,negative
Shares of SBI trade flat amid mixed market sentiment.,neutral
Market participants await Tech Mahindra quarterly results.,neutral
Cipla stock hits 52-week high on strong demand.,positive
Investors exit Bharti Airtel after disappointing Q1 guidance.,negative
Mahindra & Mahindra faces regulatory investigation over irregularities.,negative
Kotak Mahindra Bank reports a 12% decline in net profit.,negative
Shares of Infosys trade flat amid mixed market sentiment.,neutral
Hindustan Unilever reports a 11% decline in net profit.,negative
Shares of Maruti Suzuki trade flat amid mixed market sentiment.,neutral
Shares of Tech Mahindra surge after strong Q4 results.,positive
Maruti Suzuki schedules board meeting for Q4.,neutral
Mahindra & Mahindra reports robust performance with revenue of INR 2290 crore in Q1.,positive
HDFC Bank announces organizational restructuring.,neutral
Maruti Suzuki misses earnings estimates with 15% drop in profit.,negative
Bajaj Finance schedules board meeting for Q1.,neutral
Hindustan Unilever completes successful acquisition of Capital Ltd.,positive
Kotak Mahindra Bank announces leadership changes in key divisions.,neutral
Dr. Reddy's posts losses of INR 4122 crore this quarter.,negative
Dr. Reddy's beats market expectations with 19% profit growth.,positive
HDFC Bank announces 32% increase in dividend payout.,positive
Analysts downgrade TCS citing poor performance.,negative
Analysts downgrade Sun Pharma citing poor performance.,negative
Market participants await Mahindra & Mahindra quarterly results.,neutral
Analysts upgrade ITC on improved growth outlook.,positive
Bajaj Finance schedules board meeting for Q4.,neutral
Investors cheer as Dr. Reddy's secures major contract worth INR 543 crore.,positive
SBI misses earnings estimates with 20% drop in profit.,negative
Analysts downgrade Mahindra & Mahindra citing poor performance.,negative
Mahindra & Mahindra announces leadership changes in key divisions.,neutral
Analysts downgrade Power Grid citing poor performance.,negative
Mahindra & Mahindra completes acquisition of Financial Corp.,neutral
Dr. Reddy's faces legal challenges impacting market confidence.,negative
HCL Technologies faces regulatory investigation over irregularities.,negative
Shares of Bajaj Finance trade flat amid mixed market sentiment.,neutral
JSW Steel reports robust performance with revenue of INR 2763 crore in Q4.,positive
HDFC Bank posts losses of INR 4797 crore this quarter.,negative
UltraTech Cement reports robust performance with revenue of INR 795 crore in Q1.,positive
Shares of Titan Company fall after weak Q1 results.,negative
ITC completes acquisition of Digital Services.,neutral
Reliance Industries announces 20% increase in dividend payout.,positive
Tata Motors faces regulatory investigation over irregularities.,negative
Sun Pharma announces 7% increase in dividend payout.,positive
HDFC Bank completes successful acquisition of Logistics Inc.,positive
Shares of Hindustan Unilever trade flat amid mixed market sentiment.,neutral
ICICI Bank stock hits 52-week high on strong demand.,positive
Maruti Suzuki reports a 14% rise in quarterly revenue.,positive
Axis Bank reports a 16% rise in quarterly revenue.,positive
Investors exit Titan Company after disappointing Q1 guidance.,negative
Infosys reports a 12% rise in quarterly revenue.,positive
Analysts upgrade Axis Bank on improved growth outlook.,positive
Investors exit Adani Ports after disappointing Q2 guidance.,negative
Tech Mahindra reports robust performance with revenue of INR 4416 crore in Q3.,positive
TCS stock hits 52-week high on strong demand.,positive
SBI completes acquisition of Tech Solutions.,neutral
Investors exit TCS after disappointing Q2 guidance.,negative
Adani Ports beats market expectations with 19% profit growth.,positive
Shares of Bharti Airtel fall after weak Q3 results.,negative
Maruti Suzuki stock hits 52-week high on strong demand.,positive
Axis Bank reports a 11% rise in quarterly revenue.,positive
Shares of Cipla surge after strong Q2 results.,positive
Reliance Industries completes acquisition of Capital Ltd.,neutral
Wipro completes acquisition of Energy Solutions.,neutral
Bajaj Finance reports a 13% rise in quarterly revenue.,positive
Regulatory action against JSW Steel triggers sell-off.,negative
SBI schedules board meeting for Q1.,neutral
Shares of Dr. Reddy's trade flat amid mixed market sentiment.,neutral
TCS schedules board meeting for Q4.,neutral
Hindustan Unilever posts losses of INR 2270 crore this quarter.,negative
Investors exit Kotak Mahindra Bank after disappointing Q4 guidance.,negative
ITC reports robust performance with revenue of INR 455 crore in Q4.,positive
Tech Mahindra faces legal challenges impacting market confidence.,negative
ITC beats market expectations with 7% profit growth.,positive
ITC stock plunges 5% amid concerns over debt levels.,negative
Regulatory action against Adani Ports triggers sell-off.,negative
Sun Pharma posts losses of INR 3123 crore this quarter.,negative
HDFC Bank completes acquisition of Digital Services.,neutral
Dr. Reddy's posts record profits of INR 939 crore.,positive
Analysts downgrade SBI citing poor performance.,negative
Bajaj Finance introduces a new product line in the domestic market.,neutral
Analysts downgrade HCL Technologies citing poor performance.,negative
Infosys announces organizational restructuring.,neutral
Shares of Mahindra & Mahindra trade flat amid mixed market sentiment.,neutral
Titan Company beats market expectations with 17% profit growth.,positive
Tech Mahindra faces legal challenges impacting market confidence.,negative
Analysts downgrade Sun Pharma citing poor performance.,negative
Market participants await Wipro quarterly results.,neutral
Asian Paints posts losses of INR 803 crore this quarter.,negative
Maruti Suzuki announces 5% increase in dividend payout.,positive
UltraTech Cement reports robust performance with revenue of INR 1948 crore in Q4.,positive
Market participants await Hindustan Unilever quarterly results.,neutral
Power Grid beats market expectations with 20% profit growth.,positive
SBI schedules board meeting for Q3.,neutral
Bharti Airtel beats market expectations with 32% profit growth.,positive
Regulatory action against Power Grid triggers sell-off.,negative
Infosys schedules board meeting for Q3.,neutral
Mahindra & Mahindra announces leadership changes in key divisions.,neutral
Bajaj Finance faces regulatory investigation over irregularities.,negative
Investors exit Power Grid after disappointing Q4 guidance.,negative
ICICI Bank announces organizational restructuring.,neutral
Tech Mahindra reports a 28% rise in quarterly revenue.,positive
Investors exit Tech Mahindra after disappointing Q1 guidance.,negative
Investors cheer as HCL Technologies secures major contract worth INR 1955 crore.,positive
Sun Pharma faces legal challenges impacting market confidence.,negative
JSW Steel faces legal challenges impacting market confidence.,negative
Dr. Reddy's schedules board meeting for Q4.,neutral
Shares of Cipla trade flat amid mixed market sentiment.,neutral
Maruti Suzuki schedules board meeting for Q2.,neutral
Dr. Reddy's schedules board meeting for Q2.,neutral
Dr. Reddy's introduces a new product line in the domestic market.,neutral
Market participants await Kotak Mahindra Bank quarterly results.,neutral
Hindustan Unilever completes successful acquisition of Capital Ltd.,positive
Bajaj Finance completes acquisition of Logistics Inc.,neutral
Hindustan Unilever stock hits 52-week high on strong demand.,positive
UltraTech Cement reports a 33% rise in quarterly revenue.,positive
UltraTech Cement completes acquisition of Energy Solutions.,neutral
Reliance Industries schedules board meeting for Q1.,neutral
Wipro completes acquisition of Financial Corp.,neutral
TCS schedules board meeting for Q2.,neutral
Hindustan Unilever completes successful acquisition of Financial Corp.,positive
ITC reports a 15% decline in net profit.,negative
Shares of Axis Bank trade flat amid mixed market sentiment.,neutral
Wipro completes acquisition of Logistics Inc.,neutral
Reliance Industries stock hits 52-week high on strong demand.,positive
Mahindra & Mahindra introduces a new product line in the domestic market.,neutral
Maruti Suzuki completes successful acquisition of Capital Ltd.,positive
ITC reports a 10% decline in net profit.,negative
Market participants await ICICI Bank quarterly results.,neutral
Infosys announces leadership changes in key divisions.,neutral
Analysts upgrade Power Grid on improved growth outlook.,positive
Reliance Industries faces regulatory investigation over irregularities.,negative
Infosys announces organizational restructuring.,neutral
Market participants await Tech Mahindra quarterly results.,neutral
Wipro faces legal challenges impacting market confidence.,negative
Analysts downgrade Axis Bank citing poor performance.,negative
Tata Motors stock hits 52-week high on strong demand.,positive
HCL Technologies announces organizational restructuring.,neutral
Tech Mahindra completes acquisition of Energy Solutions.,neutral
ICICI Bank announces organizational restructuring.,neutral
Power Grid announces 9% increase in dividend payout.,positive
Bajaj Finance introduces a new product line in the domestic market.,neutral
Kotak Mahindra Bank announces organizational restructuring.,neutral
Dr. Reddy's completes successful acquisition of Capital Ltd.,positive
Mahindra & Mahindra reports robust performance with revenue of INR 501 crore in Q4.,positive
Hindustan Unilever completes acquisition of Tech Solutions.,neutral
Shares of Hindustan Unilever fall after weak Q3 results.,negative
TCS posts losses of INR 2456 crore this quarter.,negative
TCS completes acquisition of Energy Solutions.,neutral
ICICI Bank stock plunges 15% amid concerns over debt levels.,negative
Investors exit TCS after disappointing Q3 guidance.,negative
Investors cheer as Maruti Suzuki secures major contract worth INR 3445 crore.,positive
Tata Motors posts record profits of INR 4518 crore.,positive
JSW Steel announces 16% increase in dividend payout.,positive
Analysts downgrade Power Grid citing poor performance.,negative
Investors cheer as JSW Steel secures major contract worth INR 4067 crore.,positive
Shares of Tech Mahindra fall after weak Q4 results.,negative
ICICI Bank reports robust performance with revenue of INR 2148 crore in Q1.,positive
Cipla stock hits 52-week high on strong demand.,positive
Investors exit Bharti Airtel after disappointing Q4 guidance.,negative
Investors cheer as ITC secures major contract worth INR 1586 crore.,positive
Regulatory action against Sun Pharma triggers sell-off.,negative
UltraTech Cement posts record profits of INR 3186 crore.,positive
Titan Company announces organizational restructuring.,neutral
JSW Steel misses earnings estimates with 12% drop in profit.,negative
Kotak Mahindra Bank faces regulatory investigation over irregularities.,negative
Investors exit Kotak Mahindra Bank after disappointing Q4 guidance.,negative
Hindustan Unilever reports robust performance with revenue of INR 3882 crore in Q3.,positive
Regulatory action against Adani Ports triggers sell-off.,negative
Adani Ports announces leadership changes in key divisions.,neutral
Investors exit Tech Mahindra after disappointing Q2 guidance.,negative
Shares of Titan Company fall after weak Q1 results.,negative
Shares of Titan Company fall after weak Q1 results.,negative
Investors exit Hindustan Unilever after disappointing Q1 guidance.,negative
HDFC Bank posts losses of INR 1599 crore this quarter.,negative
HCL Technologies completes successful acquisition of Energy Solutions.,positive
Shares of Tata Motors trade flat amid mixed market sentiment.,neutral
Mahindra & Mahindra schedules board meeting for Q3.,neutral
Tata Motors announces 32% increase in dividend payout.,positive
Tata Motors completes acquisition of Tech Solutions.,neutral
Mahindra & Mahindra completes acquisition of Financial Corp.,neutral
Maruti Suzuki completes acquisition of Capital Ltd.,neutral
JSW Steel completes acquisition of Energy Solutions.,neutral
Axis Bank introduces a new product line in the domestic market.,neutral
Bharti Airtel stock hits 52-week high on strong demand.,positive
